CASE_REFERENCE,X_COORD,Y_COORD,ADDRESS,COUNCIL,NEIGHBORHOOD,PRECINCT,NSA
101000013407,11772659.1244494,3696142.06807716,3010 Hey Road,8,Belmont Woods,2,Broad Rock-4
101000007984,11772813.083115,3696173.760919,3011 Hey Road,8,Belmont Woods,2,Broad Rock-4
101000047257,11772685.123726,3696027.752681,3016 Hey Road,8,Belmont Woods,2,Broad Rock-4
101000069271,11772685.123726,3696027.752681,3016 Hey Road,8,Belmont Woods,2,Broad Rock-4
101000039023,11772838.319285,3696063.060353,3019 Hey Road,8,Belmont Woods,2,Broad Rock-4
101000004511,11772720.123984,3695882.001004,3028 Hey Road,8,Belmont Woods,2,Broad Rock-4
101000004512,11772720.123984,3695882.001004,3028 Hey Road,8,Belmont Woods,2,Broad Rock-4
101000043324,11772912.465134,3695855.950531,3035 Hey Road,8,Belmont Woods,2,Broad Rock-4
101000116575,11773137.081811,3695843.368536,3037 Amanda Dr,8,Belmont Woods,2,Broad Rock-4
101000111710,11772762.58256,3695613.634743,3100 Hey Road,8,Belmont Woods,2,Broad Rock-4
101000015128,11773199.996383,3695745.232249,3101 Amanda Dr,8,Belmont Woods,2,Broad Rock-4
101000081075,11773060.3834756,3695602.3923945,3110 Amanda Dr,8,Belmont Woods,2,Broad Rock-4
101000052670,11773226.5001275,3695596.75069688,3113 Amanda Dr,8,Belmont Woods,2,Broad Rock-4
230916-101000082701,11772967.5168055,3695525.23475084,3113 Hey Road,8,Belmont Woods,2,Broad Rock-4
222852-101000075391,11772906.8852564,3695516.8411328,3113 Hey Road,8,Belmont Woods,2,Broad Rock-4
101000004700,11773228.499935,3695521.018458,3119 Amanda Dr,8,Belmont Woods,2,Broad Rock-4
101000005924,11773228.499935,3695521.018458,3119 Amanda Dr,8,Belmont Woods,2,Broad Rock-4
101000005925,11773228.499935,3695521.018458,3119 Amanda Dr,8,Belmont Woods,2,Broad Rock-4
101000117008,11772930.918181,3695386.340578,3121 Hey Road,8,Belmont Woods,2,Broad Rock-4
195394-101000053724,11775896.8536397,3696618.17083988,3207 Mark Road,8,Belmont Woods,2,Broad Rock-4
101000072877,11775782.538791,3696616.816136,3210 Mark Road,8,Belmont Woods,2,Broad Rock-4
101000097499,11775782.538791,3696616.816136,3210 Mark Road,8,Belmont Woods,2,Broad Rock-4
101000097577,11775782.5387827,3696616.81634711,3210 Mark Road,8,Belmont Woods,2,Broad Rock-4
101000003045,11775785.957091,3696477.820351,3222 Mark Road,8,Belmont Woods,2,Broad Rock-4
101000066989,11775785.957091,3696477.820351,3222 Mark Road,8,Belmont Woods,2,Broad Rock-4
101000011492,11775828.173542,3696399.227988,3232 Mark Road,8,Belmont Woods,2,Broad Rock-4
101000076533,11775828.173542,3696399.227988,3232 Mark Road,8,Belmont Woods,2,Broad Rock-4
226402-101000078652,11775852.6822189,3696306.00347367,3324 Belmont Road,8,Belmont Woods,2,Broad Rock-4
238864-101000090117,11775852.6822189,3696306.00347367,3324 Belmont Road,8,Belmont Woods,2,Broad Rock-4
101000031796,11775008.625968,3695782.554025,3400 Belmont Road,8,Belmont Woods,2,Broad Rock-4
101000045662,11775008.6255776,3695782.55449839,3400 Belmont Road,8,Belmont Woods,2,Broad Rock-4
101000109205,11774535.617072,3695535.547301,3401 Skipping Rock Ct,8,Belmont Woods,2,Broad Rock-4
101000004599,11774508.733923,3695764.129193,3401 Skipping Rock Way,8,Belmont Woods,2,Broad Rock-4
101000004603,11774508.733923,3695764.129193,3401 Skipping Rock Way,8,Belmont Woods,2,Broad Rock-4
101000041873,11774424.028121,3695647.36789883,3402 Skipping Rock Ct,8,Belmont Woods,2,Broad Rock-4
101000022159,11774469.996468,3695921.451385,3402 Skipping Rock Way,8,Belmont Woods,2,Broad Rock-4
101000097565,11774469.9964707,3695921.45161404,3402 Skipping Rock Way,8,Belmont Woods,2,Broad Rock-4
101000052595,11774470.7595989,3695466.01671664,3403 Skipping Rock Ct,8,Belmont Woods,2,Broad Rock-4
101000104432,11774470.758934,3695466.015944,3403 Skipping Rock Ct,8,Belmont Woods,2,Broad Rock-4
101000047209,11774334.000021,3695651.354812,3404 Skipping Rock Ct,8,Belmont Woods,2,Broad Rock-4
101000049767,11774334.0007995,3695651.35485422,3404 Skipping Rock Ct,8,Belmont Woods,2,Broad Rock-4
101000056316,11774334.0007995,3695651.35485422,3404 Skipping Rock Ct,8,Belmont Woods,2,Broad Rock-4
101000062518,11774334.000021,3695651.354812,3404 Skipping Rock Ct,8,Belmont Woods,2,Broad Rock-4
101000098020,11774286.5007426,3695947.34190558,3500 Skipping Rock Way,8,Belmont Woods,2,Broad Rock-4
199380-101000057080,11774244.1189346,3695060.31455682,3501 Bowland Road,8,Belmont Woods,2,Broad Rock-4
