CASE_REFERENCE,X_COORD,Y_COORD,ADDRESS,COUNCIL,NEIGHBORHOOD,PRECINCT,NSA
223662-101000076046,11776089.8080609,3692243.36303682,2208 W Grace St,8,Brookbury,2,Broad Rock-4
101000020004,11775961.877671,3696000.863299,3323 Mark Road,8,Brookbury,2,Broad Rock-4
101000014403,11775960.862253,3695925.984512,3329 Mark Road,8,Brookbury,2,Broad Rock-4
101000073880,11775957.299924,3695851.614582,3335 Mark Road,8,Brookbury,2,Broad Rock-4
101000024584,11777354.1358569,3695958.33640227,3400 Broad Rock Blvd,8,Brookbury,2,Broad Rock-4
101000003205,11776045.172452,3695633.136673,3407 Mark Road,8,Brookbury,2,Broad Rock-4
101000033586,11775503.644007,3695218.665061,3500 Bathgate Road,8,Brookbury,2,Broad Rock-4
101000105493,11775668.258835,3695225.812356,3501 Bathgate Road,8,Brookbury,2,Broad Rock-4
222306-101000074893,11775503.644007,3695113.384759,3508 Bathgate Road,8,Brookbury,2,Broad Rock-4
224057-101000076571,11775668.258835,3695125.062557,3509 Bathgate Road,8,Brookbury,2,Broad Rock-4
101000017044,11776946.6106138,3695663.47301823,3510 Broad Rock Blvd,8,Brookbury,2,Broad Rock-4
248888-101000099396,11776942.1391663,3695734.77579344,3510 Broad Rock Blvd,8,Brookbury,2,Broad Rock-4
101000043162,11776814.600375,3695549.410134,3530 Iron Bridge Road,8,Brookbury,2,Broad Rock-4
101000054113,11775502.644009,3694802.435578,3600 Bathgate Road,8,Brookbury,2,Broad Rock-4
101000054119,11775502.644009,3694802.435578,3600 Bathgate Road,8,Brookbury,2,Broad Rock-4
101000079377,11775665.322161,3694876.337989,3600 Birdwood Road,8,Brookbury,2,Broad Rock-4
237724-101000089053,11774922.2098304,3694765.63407143,3600 Burgain Road,8,Brookbury,2,Broad Rock-4
244111-101000095109,11774922.2098304,3694765.63407143,3600 Burgain Road,8,Brookbury,2,Broad Rock-4
101000077659,11776694.656389,3695515.962366,3600 Iron Bridge Road,8,Brookbury,2,Broad Rock-4
101000056711,11775801.177861,3695030.903625,3609 Birdwood Road,8,Brookbury,2,Broad Rock-4
197607-101000055547,11775806.4063654,3695036.80865434,3609 BiRoadwood Rd,8,Brookbury,2,Broad Rock-4
101000009699,11775504.644005,3694705.232032,3610 Bathgate Road,8,Brookbury,2,Broad Rock-4
101000102085,11775082.1124852,3694671.99664144,3611 Burgain Road,8,Brookbury,2,Broad Rock-4
101000102087,11775082.1124852,3694671.99664144,3611 Burgain Road,8,Brookbury,2,Broad Rock-4
101000024242,11775906.6779338,3695029.51284901,3617 Birdwood Road,8,Brookbury,2,Broad Rock-4
101000059397,11775266.8556942,3694740.2678015,3620 Burgain Road,8,Brookbury,2,Broad Rock-4
101000006012,11775505.853648,3694502.613343,3700 Bathgate Road,8,Brookbury,2,Broad Rock-4
