CASE_REFERENCE,X_COORD,Y_COORD,ADDRESS,COUNCIL,NEIGHBORHOOD,PRECINCT,NSA
279299-101000117297,11773765.0029912,3734692.70029947,1300-1899 Chantilly,1,Monument Avenue Park,3,Far West-2
213650-101000068217,11774425.7775306,3734416.43421122,1301-1399 Blacker St,1,Monument Avenue Park,3,Far West-2
246876-101000097411,11773799.1088156,3734696.86698851,1301-1399 Chantilly St,1,Monument Avenue Park,3,Far West-2
232988-101000083982,11773920.6312537,3735952.49491559,1600-1646 Staples Mill Road,1,Monument Avenue Park,3,Far West-2
101000002999,11774164.537105,3736348.635622,1776 Staples Mill Road,1,Monument Avenue Park,3,Far West-2
258614-101000105661,11774821.8182286,3736331.2894968,1802 Chantilly St,1,Monument Avenue Park,3,Far West-2
101000019933,11774346.457699,3736593.20659133,1804 Staples Mill Road,1,Monument Avenue Park,3,Far West-2
101000095367,11774930.117595,3736165.588416,1805 Chantilly St,1,Monument Avenue Park,3,Far West-2
101000104393,11774851.226021,3736243.579402,1806 Chantilly St,1,Monument Avenue Park,3,Far West-2
101000042587,11774851.226021,3736243.579402,1806 Chantilly St,1,Monument Avenue Park,3,Far West-2
242144-101000093327,11774383.388374,3736644.674728,1808 Staples Mill Road,1,Monument Avenue Park,3,Far West-2
269118-101000111182,11774383.3884307,3736644.67413611,1808 Staples Mill Road,1,Monument Avenue Park,3,Far West-2
210005-101000065683,11775808.9596251,3735458.9135755,1832-1898 Westmoreland St,1,Monument Avenue Park,3,Far West-2
193914-101000052759,11775694.2309219,3735357.07538511,4017 Radford Ave,1,Monument Avenue Park,3,Far West-2
260542-101000106472,11775332.0119339,3734849.33863672,4600 Augusta Ave,1,Monument Avenue Park,3,Far West-2
101000064747,11775348.03966,3734897.587999,4600 Augusta Ave,1,Monument Avenue Park,3,Far West-2
101000050426,11775156.0393595,3734630.65427862,4600 Cutshaw Ave,1,Monument Avenue Park,3,Far West-2
101000064746,11775156.039715,3734630.654806,4600 Cutshaw Ave,1,Monument Avenue Park,3,Far West-2
101000066417,11775156.039715,3734630.654806,4600 Cutshaw Ave,1,Monument Avenue Park,3,Far West-2
101000000615,11775537.886393,3735151.964787,4600 Fitzhugh Ave,1,Monument Avenue Park,3,Far West-2
101000066655,11775537.886393,3735151.964787,4600 Fitzhugh Ave,1,Monument Avenue Park,3,Far West-2
101000082372,11775537.886393,3735151.964787,4600 Fitzhugh Ave,1,Monument Avenue Park,3,Far West-2
101000085852,11775537.886393,3735151.964787,4600 Fitzhugh Ave,1,Monument Avenue Park,3,Far West-2
101000115197,11775537.886393,3735151.964787,4600 Fitzhugh Ave,1,Monument Avenue Park,3,Far West-2
101000000978,11774740.886346,3734069.849497,4600 Monument Ave,1,Monument Avenue Park,3,Far West-2
101000000979,11774740.886346,3734069.849497,4600 Monument Ave,1,Monument Avenue Park,3,Far West-2
101000037270,11775725.729849,3735414.023318,4600 Radford Ave,1,Monument Avenue Park,3,Far West-2
101000104089,11775725.7293406,3735414.02326481,4600 Radford Ave,1,Monument Avenue Park,3,Far West-2
101000010210,11775696.6409191,3735865.60670101,4600 W Broad St,1,Monument Avenue Park,3,Far West-2
101000102309,11774947.809817,3734342.057942,4600 W Grace St,1,Monument Avenue Park,3,Far West-2
101000050384,11774947.809817,3734342.057942,4600 W Grace St,1,Monument Avenue Park,3,Far West-2
202934-101000059958,11775453.659909,3735042.50822693,4601 Fitzhugh Ave,1,Monument Avenue Park,3,Far West-2
235178-101000086519,11775453.659909,3735042.50822693,4601 Fitzhugh Ave,1,Monument Avenue Park,3,Far West-2
101000063754,11775456.460374,3735050.68415,4601 Fitzhugh Ave,1,Monument Avenue Park,3,Far West-2
101000117132,11775456.4603413,3735050.68392201,4601 Fitzhugh Ave,1,Monument Avenue Park,3,Far West-2
101000072380,11774837.1896108,3734257.25955401,4601 W Grace St,1,Monument Avenue Park,3,Far West-2
101000010676,11775116.539794,3734659.684932,4602 Cutshaw Ave,1,Monument Avenue Park,3,Far West-2
