CASE_REFERENCE,X_COORD,Y_COORD,ADDRESS,COUNCIL,NEIGHBORHOOD,PRECINCT,NSA
101000085400,11792577.05507,3736282.737788,103 E Ladies Mile Road,3,Providence Park,4,North-4
195460-101000053808,11793251.8249344,3736078.90911734,201-299 Ivanhoe St,3,Providence Park,4,North-4
101000087085,11792880.5050672,3736786.93135186,251 E Ladies Mile Road,3,Providence Park,4,North-4
101000090110,11792880.5050672,3736786.93135186,251 E Ladies Mile Road Apt 5,3,Providence Park,4,North-4
101000012543,11792880.505579,3736786.931989,251 E Ladies Mile Road Apt 7,3,Providence Park,4,North-4
101000021656,11792916.659706,3736866.832748,253 E Ladies Mile Road Apt 4,3,Providence Park,4,North-4
101000016731,11792916.659706,3736866.832748,253 E Ladies Mile Road Apt 5,3,Providence Park,4,North-4
101000006482,11792948.946715,3737009.898079,260 E Ladies Mile Road,3,Providence Park,4,North-4
101000017019,11793042.159455,3736945.884099,261 E Ladies Mile Road,3,Providence Park,4,North-4
101000021358,11793042.159455,3736945.884099,261 E Ladies Mile Road,3,Providence Park,4,North-4
101000004461,11793104.395551,3736943.207924,301 E Ladies Mile Road,3,Providence Park,4,North-4
101000029249,11793835.50006,3735199.162527,306 Bancroft Ave,3,Providence Park,4,North-4
101000012113,11793133.875151,3736717.699188,310 Hunt Ave,3,Providence Park,4,North-4
101000085182,11793133.8745245,3736717.69849455,310 Hunt Ave,3,Providence Park,4,North-4
101000082090,11793196.256588,3736948.312244,311 1/2 E Ladies Mile Road,3,Providence Park,4,North-4
101000004462,11793134.903036,3736958.731843,311 E Ladies Mile Road,3,Providence Park,4,North-4
101000001065,11793160.750097,3736721.443275,312 Hunt Ave,3,Providence Park,4,North-4
101000046094,11793160.750097,3736721.443275,312 Hunt Ave,3,Providence Park,4,North-4
101000102489,11793160.750097,3736721.443275,312 Hunt Ave,3,Providence Park,4,North-4
101000113531,11793160.7498744,3736721.44327354,312 Hunt Ave,3,Providence Park,4,North-4
101000070623,11793224.513421,3736953.255804,313 E Ladies Mile Road,3,Providence Park,4,North-4
101000082092,11793224.513421,3736953.255804,313 E Ladies Mile Road,3,Providence Park,4,North-4
101000013521,11793253.513363,3736953.724635,315 E Ladies Mile Road,3,Providence Park,4,North-4
101000068578,11793253.513363,3736953.724635,315 E Ladies Mile Road,3,Providence Park,4,North-4
101000100156,11793195.041695,3736621.602596,317 Hunt Ave,3,Providence Park,4,North-4
101000023879,11793195.041695,3736621.602596,317 Hunt Ave,3,Providence Park,4,North-4
101000013377,11793248.833254,3736726.543987,318 Hunt Ave,3,Providence Park,4,North-4
101000089491,11793251.041583,3736621.241376,319 Hunt Ave,3,Providence Park,4,North-4
101000117022,11793251.041583,3736621.241376,319 Hunt Ave,3,Providence Park,4,North-4
278393-101000116608,11793879.615513,3734782.96655737,3200 Alvis Ave,3,Providence Park,4,North-4
282461-101000119924,11793879.615513,3734782.96655737,3200 Alvis Ave,3,Providence Park,4,North-4
101000020836,11793882.281462,3734784.816899,3200 Alvis Ave,3,Providence Park,4,North-4
101000092487,11793682.5029467,3734762.64196944,3201 Cliff Ave,3,Providence Park,4,North-4
245578-101000096140,11793689.8852398,3734766.20851676,3201 Cliff Ave,3,Providence Park,4,North-4
101000053554,11793884.994712,3734964.656435,3206 Alvis Ave,3,Providence Park,4,North-4
101000053559,11793884.9943368,3734964.65601514,3206 Alvis Ave,3,Providence Park,4,North-4
101000087430,11793624.8330387,3735864.65434819,3206 Hazelhurst Ave,3,Providence Park,4,North-4
101000116476,11793624.833486,3735864.654963,3206 Hazelhurst Ave,3,Providence Park,4,North-4
101000058148,11793661.361629,3734914.398333,3207 Cliff Ave,3,Providence Park,4,North-4
101000001189,11793884.494713,3735013.897478,3208 Alvis Ave,3,Providence Park,4,North-4
101000001190,11793884.494713,3735013.897478,3208 Alvis Ave,3,Providence Park,4,North-4
101000029514,11793884.494713,3735013.897478,3208 Alvis Ave,3,Providence Park,4,North-4
101000077000,11793884.494713,3735013.897478,3208 Alvis Ave,3,Providence Park,4,North-4
101000017015,11793657.361637,3734964.583928,3209 Cliff Ave,3,Providence Park,4,North-4
101000023483,11793657.361637,3734964.583928,3209 Cliff Ave,3,Providence Park,4,North-4
101000036640,11793657.361637,3734964.583928,3209 Cliff Ave,3,Providence Park,4,North-4
101000111067,11793885.9225499,3735071.52822314,3210 Alvis Ave,3,Providence Park,4,North-4
