CASE_REFERENCE,X_COORD,Y_COORD,ADDRESS,COUNCIL,NEIGHBORHOOD,PRECINCT,NSA
265540-101000109260,11782988.9652069,3721556.03150026,1000 Lombardy St,5,Randolph,3,Near West-5
101000052622,11783098.4991267,3721319.02944067,1104 Eggleston St,5,Randolph,3,Near West-5
101000090278,11783098.49988,3721319.029526,1104 Eggleston St,5,Randolph,3,Near West-5
101000090283,11783098.49988,3721319.029526,1104 Eggleston St,5,Randolph,3,Near West-5
101000015708,11782040.864528,3721647.731625,1104 S Allen Ave,5,Randolph,3,Near West-5
101000047388,11782040.8642089,3721647.73132985,1104 S Allen Ave,5,Randolph,3,Near West-5
217296-101000071011,11783678.1660754,3721192.35954289,1100 Randolph St,5,Randolph,3,Near West-5
101000023247,11783683.45934,3721201.049447,1100 Randolph St,5,Randolph,3,Near West-5
101000029520,11783683.45934,3721201.049447,1100 Randolph St,5,Randolph,3,Near West-5
101000083132,11782064.8614754,3721707.10659571,1100 S Allen Ave,5,Randolph,3,Near West-5
101000093373,11782064.862184,3721707.106834,1100 S Allen Ave,5,Randolph,3,Near West-5
101000013040,11783789.952566,3721160.066918,1101 Randolph St,5,Randolph,3,Near West-5
101000050456,11783789.952566,3721160.066918,1101 Randolph St,5,Randolph,3,Near West-5
101000111470,11782735.208284,3721573.75966,1101 Sumpter St,5,Randolph,3,Near West-5
101000023749,11782735.208284,3721573.75966,1101 Sumpter St,5,Randolph,3,Near West-5
101000018210,11783795.625127,3721124.735952,1103 Randolph St,5,Randolph,3,Near West-5
101000046775,11783795.625127,3721124.735952,1103 Randolph St,5,Randolph,3,Near West-5
268606-101000111034,11781412.256206,3721993.800815,1103 S Meadow St,5,Randolph,3,Near West-5
101000120109,11782836.98892,3721342.315241,1106 1/2 S Lombardy St,5,Randolph,3,Near West-5
101000065933,11782031.711003,3721624.723797,1106 S Allen Ave,5,Randolph,3,Near West-5
277523-101000115773,11783754.126373,3721077.21701584,1107 Randolph St,5,Randolph,3,Near West-5
101000028907,11781399.756231,3721964.93309,1107 S Meadow St,5,Randolph,3,Near West-5
101000094158,11781399.756231,3721964.93309,1107 S Meadow St,5,Randolph,3,Near West-5
101000052546,11781399.756231,3721964.93309,1107 S Meadow St,5,Randolph,3,Near West-5
101000118325,11782704.43702,3721505.878234,1107 Sumpter St,5,Randolph,3,Near West-5
101000039325,11783058.4777259,3721206.20716898,1108 Eggleston St,5,Randolph,3,Near West-5
101000039326,11783058.4777259,3721206.20716898,1108 Eggleston St,5,Randolph,3,Near West-5
101000039529,11783058.4777259,3721206.20716898,1108 Eggleston St,5,Randolph,3,Near West-5
101000005576,11782593.169198,3721500.316893,1108 Sumpter St,5,Randolph,3,Near West-5
101000066598,11781393.756243,3721950.683119,1109 S Meadow St,5,Randolph,3,Near West-5
101000021902,11783375.361203,3721202.952331,1110 Meade St,5,Randolph,3,Near West-5
101000010381,11781387.755752,3721935.4874987,1111 S Meadow St,5,Randolph,3,Near West-5
101000037084,11782672.010927,3721435.471899,1111 Sumpter St,5,Randolph,3,Near West-5
101000038627,11782672.011232,3721435.472207,1111 Sumpter St,5,Randolph,3,Near West-5
101000066148,11782672.011232,3721435.472207,1111 Sumpter St,5,Randolph,3,Near West-5
101000018565,11782561.169262,3721427.154966,1112 Sumpter St,5,Randolph,3,Near West-5
101000034748,11783215.117429,3721251.161552,1113 Eggleston St,5,Randolph,3,Near West-5
101000009733,11783359.361235,3721165.472091,1114 Meade St,5,Randolph,3,Near West-5
101000017153,11783359.361235,3721165.472091,1114 Meade St,5,Randolph,3,Near West-5
233406-101000084641,11782643.2421356,3721357.79472019,1115 Sumpter St,5,Randolph,3,Near West-5
101000005747,11783349.33993,3721122.644092,1116 Meade St,5,Randolph,3,Near West-5
101000012413,11782624.511327,3721324.566589,1117 Sumpter St,5,Randolph,3,Near West-5
101000038681,11782722.1274234,3721124.54933899,1118 S Lombardy St,5,Randolph,3,Near West-5
101000059600,11782722.127602,3721124.549928,1118 S Lombardy St,5,Randolph,3,Near West-5
101000034840,11783433.349604,3721055.420474,1119 Meade St,5,Randolph,3,Near West-5
227220-101000079527,11783414.369984,3721008.711906,1121 Meade St,5,Randolph,3,Near West-5
101000016852,11781362.979729,3721883.388306,1121 S Meadow St,5,Randolph,3,Near West-5
101000074956,11782481.669093,3721244.104151,1122 Sumpter St,5,Randolph,3,Near West-5
280993-101000118630,11782570.4818736,3721188.33626853,1123 Sumpter St,5,Randolph,3,Near West-5
101000003221,11783149.489327,3721107.71924782,1125 Eggleston St,5,Randolph,3,Near West-5
101000028811,11782559.511457,3721173.228309,1125 Sumpter St,5,Randolph,3,Near West-5
101000025376,11783046.818553,3721106.025359,1128 Eggleston St,5,Randolph,3,Near West-5
101000051257,11783046.8182175,3721106.02479178,1128 Eggleston St,5,Randolph,3,Near West-5
101000034668,11783588.759727,3720964.337979,1128 Randolph St,5,Randolph,3,Near West-5
101000057013,11782434.169188,3721133.348467,1128 Sumpter St,5,Randolph,3,Near West-5
101000056090,11783111.2877533,3721029.83890232,1129 Eggleston St,5,Randolph,3,Near West-5
101000003217,11783018.71231,3721072.563812,1130 Eggleston St,5,Randolph,3,Near West-5
101000085456,11783287.743924,3720970.377337,1130 Meade St,5,Randolph,3,Near West-5
101000093982,11783287.743924,3720970.377337,1130 Meade St,5,Randolph,3,Near West-5
101000095210,11783287.743924,3720970.377337,1130 Meade St,5,Randolph,3,Near West-5
101000103643,11783287.743924,3720970.377337,1130 Meade St,5,Randolph,3,Near West-5
238551-101000089730,11783272.4412191,3720984.27936445,1130 Meade St,5,Randolph,3,Near West-5
238727-101000089900,11783092.0253141,3720963.03733806,1131 Eggleston St,5,Randolph,3,Near West-5
101000081190,11782511.5110543,3721063.04821606,1131 Sumpter St,5,Randolph,3,Near West-5
101000085132,11782511.5110543,3721063.04821606,1131 Sumpter St,5,Randolph,3,Near West-5
101000111555,11782353.318628,3720949.974162,1138 Sumpter St,5,Randolph,3,Near West-5
220356-101000073318,11782460.3708061,3720909.32575316,1139 Sumpter St,5,Randolph,3,Near West-5
101000071764,11782443.436558,3720915.689454,1139 Sumpter St,5,Randolph,3,Near West-5
101000007595,11782337.849827,3720913.001467,1140 Sumpter St,5,Randolph,3,Near West-5
101000035511,11785253.217684,3722828.038319,1151 Grayland Ave,5,Randolph,3,Near West-5
101000114603,11785253.217238,3722828.03754498,1151 Grayland Ave,5,Randolph,3,Near West-5
101000006767,11784268.391569,3721736.620883,1200 Claiborne St Apt A,5,Randolph,3,Near West-5
101000108608,11781448.276475,3721657.410411,1200 Georgia Ave,5,Randolph,3,Near West-5
101000022544,11781701.180497,3721543.852896,1200 Greenville Ave,5,Randolph,3,Near West-5
101000038347,11781701.1802823,3721543.8524532,1200 Greenville Ave,5,Randolph,3,Near West-5
101000051242,11781701.1802823,3721543.8524532,1200 Greenville Ave,5,Randolph,3,Near West-5
101000093955,11781701.180497,3721543.852896,1200 Greenville Ave,5,Randolph,3,Near West-5
101000052036,11781701.180497,3721543.852896,1200 Greenville Ave,5,Randolph,3,Near West-5
101000087895,11785086.3460237,3722704.01597791,1200 Idlewood Ave,5,Randolph,3,Near West-5
198737-101000056398,11785081.4952891,3722711.33545203,1200 Idlewood Ave,5,Randolph,3,Near West-5
201614-101000058989,11785081.4952891,3722711.33545203,1200 Idlewood Ave,5,Randolph,3,Near West-5
206098-101000062323,11785081.4952891,3722711.33545203,1200 Idlewood Ave,5,Randolph,3,Near West-5
101000008266,11784524.602015,3722012.44251,1200 Lakeview Ave Apt A,5,Randolph,3,Near West-5
101000016911,11784524.602015,3722012.44251,1200 Lakeview Ave Apt A,5,Randolph,3,Near West-5
