CASE_REFERENCE,X_COORD,Y_COORD,ADDRESS,COUNCIL,NEIGHBORHOOD,PRECINCT,NSA
101000065086,11783397.999938,3738006.700219,1700 W Laburnum Ave,3,Rosedale,4,North-1
263614-101000108302,11783805.4774599,3735740.25963508,1700 Westwood Ave,2,Rosedale,4,North-1
101000098158,11783468.874796,3737521.302568,1700 Wilmington Ave,2,Rosedale,4,North-1
101000031487,11783468.874796,3737521.302568,1700 Wilmington Ave,2,Rosedale,4,North-1
101000050616,11783468.874796,3737521.302568,1700 Wilmington Ave,2,Rosedale,4,North-1
227756-101000080493,11783468.874796,3737521.302568,1700 Wilmington Ave,2,Rosedale,4,North-1
101000113657,11783468.874796,3737521.302568,1700 Wilmington Ave,2,Rosedale,4,North-1
101000057393,11783365.125003,3737795.248542,1701 W Laburnum Ave,2,Rosedale,4,North-1
101000017912,11782929.999646,3738153.59814058,1703 Avondale Ave,3,Rosedale,4,North-1
101000055111,11783072.000261,3737970.333166,1704 W Laburnum Ave,3,Rosedale,4,North-1
195101-101000053538,11783129.9769844,3738059.72639555,1704 W Laburnum Ave,3,Rosedale,4,North-1
246383-101000096957,11782874.8110139,3738147.85355678,1705 Avondale Ave,3,Rosedale,4,North-1
101000029029,11783502.014493,3736357.938425,1705 Elmsmere Ave,2,Rosedale,4,North-1
101000028656,11783241.916916,3737786.753153,1705 W Laburnum Ave,2,Rosedale,4,North-1
101000060913,11783241.916916,3737786.753153,1705 W Laburnum Ave,2,Rosedale,4,North-1
101000060925,11783241.916916,3737786.753153,1705 W Laburnum Ave,2,Rosedale,4,North-1
101000066111,11783241.916916,3737786.753153,1705 W Laburnum Ave,2,Rosedale,4,North-1
101000082046,11783241.916916,3737786.753153,1705 W Laburnum Ave,2,Rosedale,4,North-1
232503-101000083856,11783821.329837,3735751.18254738,1705 Westwood Ave,2,Rosedale,4,North-2
271576-101000112853,11782839.462075,3738223.64534621,1705-1707 Avondale Ave,3,Rosedale,4,North-1
252565-101000102153,11783212.30132,3737113.17637008,1706 Maple Shade Lane,2,Rosedale,4,North-1
101000041774,11783482.260596,3736823.834803,1706 Seddon Road,2,Rosedale,4,North-1
268386-101000110980,11782968.7980256,3737917.16764845,1706 W Laburnum Ave,3,Rosedale,4,North-1
101000057446,11783344.000046,3737559.430773,1706 Wilmington Ave,2,Rosedale,4,North-1
213590-101000068212,11783351.3214879,3737568.38301715,1706 Wilmington Ave,2,Rosedale,4,North-1
211071-101000066494,11783335.1396795,3737575.31035708,1706 Wilmington Ave,2,Rosedale,4,North-1
206051-101000062277,11783368.2690467,3737578.45239152,1706 Wilmington Ave,2,Rosedale,4,North-1
221545-101000074093,11783354.6419019,3737635.35700495,1706 Wilmington Ave,2,Rosedale,4,North-1
101000024685,11783445.514278,3736357.055881,1707 Elmsmere Ave,2,Rosedale,4,North-1
202702-101000059698,11783237.4874503,3737009.19815867,1707 Maple Shade Lane,2,Rosedale,4,North-1
101000064671,11783241.246314,3737023.43611,1707 Maple Shade Lane,2,Rosedale,4,North-1
101000058421,11783298.4924401,3736689.30856887,1707 Seddon Road,2,Rosedale,4,North-1
101000088353,11783298.492919,3736689.309153,1707 Seddon Road,2,Rosedale,4,North-1
101000102926,11783189.416693,3737784.315493,1707 W Laburnum Ave,2,Rosedale,4,North-1
101000024324,11783189.416693,3737784.315493,1707 W Laburnum Ave,2,Rosedale,4,North-1
101000083346,11783189.416693,3737784.315493,1707 W Laburnum Ave,2,Rosedale,4,North-1
232819-101000083932,11783206.4777297,3735661.02140759,1707 Westwood Ave,2,Rosedale,4,North-1
249708-101000099906,11783214.7610969,3735668.69696437,1707 Westwood Ave,2,Rosedale,4,North-1
