CASE_REFERENCE,X_COORD,Y_COORD,ADDRESS,COUNCIL,NEIGHBORHOOD,PRECINCT,NSA
101000001279,11770535.977105,3704341.177983,1000 Whitehead Road,9,Worthington,2,Midlothian-1
101000015719,11770535.977105,3704341.177983,1000 Whitehead Road,9,Worthington,2,Midlothian-1
101000065338,11770535.977105,3704341.177983,1000 Whitehead Road,9,Worthington,2,Midlothian-1
101000065339,11770535.977105,3704341.177983,1000 Whitehead Road,9,Worthington,2,Midlothian-1
101000072950,11770535.977105,3704341.177983,1000 Whitehead Road,9,Worthington,2,Midlothian-1
101000039681,11769977.342724,3704339.941437,1001 Andros Road,9,Worthington,2,Midlothian-1
101000041452,11769977.342724,3704339.941437,1001 Andros Road,9,Worthington,2,Midlothian-1
101000036107,11770349.144802,3704399.255623,1001 Rutherford Road,9,Worthington,2,Midlothian-1
101000001171,11770470.999873,3704193.127755,1012 Whitehead Road,9,Worthington,2,Midlothian-1
101000012626,11769712.575865,3704009.836126,1100 Andros Road,9,Worthington,2,Midlothian-1
101000063492,11769712.575865,3704009.836126,1100 Andros Road,9,Worthington,2,Midlothian-1
101000026851,11768672.296777,3704116.652514,1100 Mcdowell Road,9,Worthington,2,Midlothian-1
101000026726,11770291.807318,3703970.593751,1100 Whitehead Road,9,Worthington,2,Midlothian-1
101000084812,11770291.807393,3703970.59436459,1100 Whitehead Road,9,Worthington,2,Midlothian-1
101000085230,11770291.807393,3703970.59436459,1100 Whitehead Road,9,Worthington,2,Midlothian-1
101000115728,11770291.807393,3703970.59436459,1100 Whitehead Road,9,Worthington,2,Midlothian-1
101000022435,11769861.342628,3703958.905454,1101 Andros Road,9,Worthington,2,Midlothian-1
101000006668,11769174.802334,3704066.790409,1101 Montague Road,9,Worthington,2,Midlothian-1
101000085676,11768995.11667,3704014.217351,1106 Montague Road,9,Worthington,2,Midlothian-1
101000085677,11768995.11667,3704014.217351,1106 Montague Road,9,Worthington,2,Midlothian-1
101000089417,11768995.1171222,3704014.21804187,1106 Montague Road,9,Worthington,2,Midlothian-1
101000093974,11768995.11667,3704014.217351,1106 Montague Road,9,Worthington,2,Midlothian-1
101000057206,11769142.842752,3703979.589796,1107 Montague Road,9,Worthington,2,Midlothian-1
101000111583,11767648.151844,3703849.016566,1112 Schloss Road,9,Worthington,2,Midlothian-1
101000028848,11767648.151844,3703849.016566,1112 Schloss Road,9,Worthington,2,Midlothian-1
101000077597,11769815.982154,3703797.200069,1113 Andros Road,9,Worthington,2,Midlothian-1
101000000403,11769641.895888,3703765.04823,1118 Andros Road,9,Worthington,2,Midlothian-1
101000095432,11769641.8962874,3703765.04890431,1118 Andros Road,9,Worthington,2,Midlothian-1
101000095434,11769641.895888,3703765.04823,1118 Andros Road,9,Worthington,2,Midlothian-1
101000095436,11769641.895888,3703765.04823,1118 Andros Road,9,Worthington,2,Midlothian-1
101000057347,11769789.203336,3703718.164466,1119 Andros Road,9,Worthington,2,Midlothian-1
101000074665,11769789.203336,3703718.164466,1119 Andros Road,9,Worthington,2,Midlothian-1
101000085968,11769789.203336,3703718.164466,1119 Andros Road,9,Worthington,2,Midlothian-1
101000098901,11769789.203336,3703718.164466,1119 Andros Road,9,Worthington,2,Midlothian-1
199561-101000057268,11770032.231377,3703591.20784013,1119 Wheaton Road,9,Worthington,2,Midlothian-1
